Weight,Minimum BCS,Maximum BCS,Breed,Breed Grade,Horn,Udder,Skin Coat,Cleft,Teat,Worm Load,Wound,Rumination,Animal Alertness,BCS,Buying Recommendation,Breeding Capacity,Interpretations(English),Interpretations(Hindi),Interpretations(Kannada),Recommendation(English),Recommendation(Hindi),Recommendation(Kannada)
None,None,None,None,None,None,Udder-Moderately-Pendulous,None,None,None,None,None,None,None,None,YES,N/A,"Intermediate stage between Compact udder or Pendulous udder, They are more prone for mastitis & Udder injury",मजबूत थन और लटकते थन के बीच का बीच वाले चरण में मास्टिटिस और थन की चोट लगने की संभावना अधिक होती है।,ಈ ವಿಧವು ಅಡಕ ಕೆಚ್ಚಲು  ಅಥವಾ ಜೋಲು  ಕೆಚ್ಚಲು ನಡುವಿನ ಮಧ್ಯಂತರ ಹಂತ. ಈ ವಿಧದ ಕೆಚ್ಚಲು ಆಗಿಂದಾಗ್ಗೆ  ಕೆಚ್ಚಲು ಬಾವುನಿಂದ ಬಳಲುತ್ತಿರುತ್ತವೆ.,To prevent Mastitis regularly use Teat Dips using Sol. V-Dip (500 ml) after morning and evening milking. Regularly Check Subclinical Mastitis by CMT test using Sol. V-CMT (500 ml) .To Cure CMT positive Cow Daily feed Pow. Mastigo-50 Grams for 1 week.,मास्टिटिस को रोकने के लिए सुबह और शाम दूध देने के बाद नियमित रूप से सोल वी-डिप (500 मिली) द्वारा टीट डिप्स का उपयोग करें। सोल  वी-सीएमटी (500 मिली) का उपयोग करके सीएमटी परीक्षण द्वारा नियमित रूप से सबक्लिनिकल मास्टिटिस की जाँच करें। सीएमटी पॉजिटिव गाय को ठीक करने के लिए प्रतिदिन पाउडर मास्टिगो - 50 ग्राम 1 सप्ताह के लिए दें ।,"ಕೆಚ್ಚಲು ಬಾವು ಸಮಸ್ಯೆ ತಡೆಗಟ್ಟಲು ಬೆಳಿಗ್ಗೆ ಮತ್ತು ಸಂಜೆ ಹಾಲು ಕರೆದ  ನಂತರ ಕೆಚ್ಚಲಿನ ತೊಟ್ಟು ಗಳಿಗೆ  Teat  Dip ದ್ರಾವಣವನ್ನು ಬಳಸಿ.  Sol. V-Dip 500ml-1.ಹಾಲಿನ CMT ಪರೀಕ್ಷೆಯ ಮೂಲಕ ಕೆಚ್ಚಲಿನಲ್ಲಿರುವ ಅಗೋಚರ/ಗುಪ್ತ ಕೆಚ್ಚಲು ಬಾವು ವನ್ನು  ತಿಂಗಳಿಗೊಮ್ಮೆ ಪರಿಶೀಲಿಸಿ, ಪಶುವೈದ್ಯರ ಸಲಹೆ ಪಡೆಯಿರಿ.  Sol. V-CMT 500ml-1. ಗುಪ್ತ ಕೆಚ್ಚಲು ಬಾವು Positive ಬರುವ ಹಸುಗಳಿಗೆ Pow.Mastigo 50 ಗ್ರಾಂ ನ್ನು ಪ್ರತಿದಿನ ಒಂದು ವಾರಗಳ ಕಾಲ ನೀಡಬೇಕು.                                                                                                        "
None,None,None,None,None,None,Udder-Pendulous,None,None,None,None,None,None,None,None,Physical Check required,N/A,"Loose udder attachment to the Ventral region is noticed, causing udder to hit the legs while walking and drop near the floor upon calving,Highly prone for Mastitis and injury.","वेंट्रल क्षेत्र से थन का ढीला जुड़ाव देखा गया है, जिससे चलते समय थन पैरों से टकराता है और ब्याने के बाद फर्श से छूता है, जिससे मास्टिटिस और चोट लगने की बहुत संभावना होती है।","ಈ ವಿಧದ ಜೋಲು  ಕೆಚ್ಚಲು, ಕೆಳಹೊಟ್ಟೆಗೆ ಸಡಿಲವಾಗಿ ಅಂಟಿಕೊಂಡಿರುತ್ತದೆ ಮತ್ತು ಹಸು ನಡೆದಾಡುವಾಗ ಒಂದು ಕಾಲಿಂದ ಮತ್ತೊಂದು ಕಾಲಿಗೆ ಜೋಲು ಹೊಡೆಯುವ ರೀತಿ ಕಂಡುಬರುತ್ತದೆ. ಈ ಹಸುವು ಕರು ಹಾಕಿದಾಗ ಕೆಚ್ಚಲು ಮೊಣಕಾಲಿನಿಂದ ಕೆಳಗೆ ಜೋತು ಬೀಳುತ್ತದೆ ಮತ್ತು ಹೆಚ್ಚಿನ ಪ್ರಮಾಣದಲ್ಲಿ ಕೆಚ್ಚಲು ಬಾವು & ತೊಟ್ಟುಗಳು ಒಡೆದು ಗಾಯವಾಗುವ ಸಾಧ್ಯತೆ ಇರುತ್ತದೆ.","If you are a buyer, avoid purchasing this type of cow. As a farmer, prioritize this cow for culling.To prevent Mastitis regularly use Teat Dips using Sol. V-Dip (500 ml) after morning and evening milking. Regularly Check Subclinical Mastitis by CMT test using Sol. V-CMT (500 ml) .To Cure CMT positive Cow Daily feed Pow. Mastigo-50 Grams for 1 week.","अगर आप खरीदार हैं, तो इस तरह की गाय खरीदने से बचें। अगर आप किसान हैं, तो इस गाय को त्यागने या मारने पर विचार करें। मास्टिटिस को रोकने के लिए, सुबह और शाम दूध देने के बाद नियमित रूप से सोल वी-डिप (500 मिली) से टीट डिप्स का उपयोग करें। सोल का उपयोग करके सीएमटी परीक्षण द्वारा नियमित रूप से सबक्लिनिकल मास्टिटिस की जांच करें। सीएमटी पॉजिटिव गाय को ठीक करने के लिए, प्रतिदिन 50 ग्राम मास्टिगो पाउडर 1 सप्ताह तक दें।","ನೀವು ಖರೀದಿದಾರರಾಗಿದ್ದರೆ ಈ ತರಹದ ಕೆಚ್ಚಲಿನ ಹಸು ಖರೀದಿಯನ್ನು ತಡೆಹಿಡಿಯಿರಿ. ನಿಮ್ಮ ಫಾರ್ಮ್ ನಲ್ಲಿ ಈ ತರಹದ ಹಸು ಇದ್ದರೆ, ಮುಂಬರುವ ಸಮಸ್ಯೆಯನ್ನು ತಪ್ಪಿಸಲು ಸೂಕ್ತ ಕ್ರಮ ಕೈಗೊಳ್ಳಿ.ಕೆಚ್ಚಲು ಬಾವು ಸಮಸ್ಯೆ ತಡೆಗಟ್ಟಲು ಬೆಳಿಗ್ಗೆ ಮತ್ತು ಸಂಜೆ ಹಾಲು ಕರೆದ  ನಂತರ ಕೆಚ್ಚಲಿನ ತೊಟ್ಟು ಗಳಿಗೆ  Teat  Dip ದ್ರಾವಣವನ್ನು ಬಳಸಿ.  Sol. V-Dip 500ml-1. ಹಾಲಿನ CMT ಪರೀಕ್ಷೆಯ ಮೂಲಕ ಕೆಚ್ಚಲಿನಲ್ಲಿರುವ ಅಗೋಚರ/ಗುಪ್ತ ಕೆಚ್ಚಲು ಬಾವು ವನ್ನು  ತಿಂಗಳಿಗೊಮ್ಮೆ ಪರಿಶೀಲಿಸಿ, ಪಶುವೈದ್ಯರ ಸಲಹೆ ಪಡೆಯಿರಿ.  Sol. V-CMT 500ml-1. ಗುಪ್ತ ಕೆಚ್ಚಲು ಬಾವು Positive ಬರುವ ಹಸುಗಳಿಗೆ Pow.Mastigo 50 ಗ್ರಾಂ ನ್ನು ಪ್ರತಿದಿನ ಒಂದು ವಾರಗಳ ಕಾಲ ನೀಡಬೇಕು.                                                                                                       "
None,None,None,None,None,None,Udder-Balloon-Shaped,None,None,None,None,None,None,None,None,NO,N/A,"Very loose udder attachment to the Ventral region due to weak suspensory ligament, causing udder to hit the legs while walking and drop near the floor upon calving, leading to walking difficulties and a high risk of mastitis and injury.","कमजोर सस्पेंसरी लिगामेंट के कारण वेंट्रल क्षेत्र से थन का लगाव बहुत ढीला हो जाता है, जिससे चलते समय थन पैरों से टकराता है और ब्याने के समय फर्श से छूता है। इससे चलने में कठिनाई होती है और मास्टिटिस तथा चोट लगने का खतरा बढ़ जाता है।","ಈ ವಿಧದ ಗಂಟೆ  ಕೆಚ್ಚಲು, ಕೆಳಹೊಟ್ಟೆಗೆ ದುರ್ಭಲವಾಗಿ & ಸಡಿಲವಾಗಿ ಅಂಟಿಕೊಂಡಿರುತ್ತದೆ ಮತ್ತು ಹಸು ನಡೆದಾಡುವಾಗ ಒಂದು ಕಾಲಿಂದ ಮತ್ತೊಂದು ಕಾಲಿಗೆ ಜೋಲು ಹೊಡೆಯುವ ರೀತಿ ಕಂಡುಬರುತ್ತದೆ. ಈ ಹಸುವು ಕರು ಹಾಕಿದಾಗ ಕೆಚ್ಚಲು ಮೊಣಕಾಲಿನಿಂದ ಕೆಳಗೆ ಜೋತು ಬೀಳುತ್ತದೆ, ನೆಲಕ್ಕೆ ಮುಟ್ಟುತ್ತದೆ, ಹಸು ಎದ್ದು ನಡೆಯಲು ತುಂಬಾ ಕಷ್ಟಪಡುತ್ತದೆ ಮತ್ತು ಪದೇ ಪದೇ  ಕೆಚ್ಚಲು ಬಾವು & ತೊಟ್ಟುಗಳು ಒಡೆದು ಗಾಯಗಳಾಗುವ ಸಾಧ್ಯತೆ ಇರುತ್ತದೆ. ","If you are a buyer, avoid purchasing this type of cow. As a farmer, prioritize this cow for culling.To prevent Mastitis regularly use Teat Dips using Sol. V-Dip (500 ml) after morning and evening milking. Regularly Check Subclinical Mastitis by CMT test using Sol. V-CMT (500 ml) .To Cure CMT positive Cow Daily feed Pow. Mastigo-50 Grams for 1 week.","अगर आप खरीदार हैं, तो इस तरह की गाय खरीदने से बचें। अगर आप किसान हैं, तो इस गाय को छोड़ने या मारने पर विचार करें। मास्टिटिस को रोकने के लिए, सुबह और शाम दूध देने के बाद नियमित रूप से सोल वी-डिप (500 मिली) से टीट डिप्स का उपयोग करें। सोल का उपयोग करके सीएमटी परीक्षण द्वारा नियमित रूप से सबक्लिनिकल मास्टिटिस की जांच करें। सीएमटी पॉजिटिव गाय को ठीक करने के लिए, प्रतिदिन 50 ग्राम मास्टिगो पाउडर 1 सप्ताह तक दें।","ನೀವು ಖರೀದಿದಾರರಾಗಿದ್ದರೆ ಈ ತರಹದ ಕೆಚ್ಚಲಿನ ಹಸು ಖರೀದಿಯನ್ನು ತಡೆಹಿಡಿಯಿರಿ. ನಿಮ್ಮ ಫಾರ್ಮ್ ನಲ್ಲಿ ಈ ತರಹದ ಹಸು ಇದ್ದರೆ, ಮುಂಬರುವ ಸಮಸ್ಯೆಯನ್ನು ತಪ್ಪಿಸಲು ಸೂಕ್ತ ಕ್ರಮ ಕೈಗೊಳ್ಳಿ.ಕೆಚ್ಚಲು ಬಾವು ಸಮಸ್ಯೆ ತಡೆಗಟ್ಟಲು ಬೆಳಿಗ್ಗೆ ಮತ್ತು ಸಂಜೆ ಹಾಲು ಕರೆದ  ನಂತರ ಕೆಚ್ಚಲಿನ ತೊಟ್ಟು ಗಳಿಗೆ  Teat  Dip ದ್ರಾವಣವನ್ನು ಬಳಸಿ.  Sol. V-Dip 500ml-1.ಹಾಲಿನ CMT ಪರೀಕ್ಷೆಯ ಮೂಲಕ ಕೆಚ್ಚಲಿನಲ್ಲಿರುವ ಅಗೋಚರ/ಗುಪ್ತ ಕೆಚ್ಚಲು ಬಾವು ವನ್ನು  ತಿಂಗಳಿಗೊಮ್ಮೆ ಪರಿಶೀಲಿಸಿ, ಪಶುವೈದ್ಯರ ಸಲಹೆ ಪಡೆಯಿರಿ.  Sol. V-CMT 500ml-1.  ಗುಪ್ತ ಕೆಚ್ಚಲು ಬಾವು Positive ಬರುವ ಹಸುಗಳಿಗೆ Pow.Mastigo 50 ಗ್ರಾಂ ನ್ನು ಪ್ರತಿದಿನ ಒಂದು ವಾರಗಳ ಕಾಲ ನೀಡಬೇಕು.                                                                                                      "
None,None,None,None,None,None,None,None,None,Teat-Score-9,None,None,None,None,None,N/A,N/A,Teat Size is Very small & Symmetrical,निप्पलों का आकार बहुत छोटा और एक दूसरे के बराबर होता है।,ಕೆಚ್ಚಲಿನ ತೊಟ್ಟು ಗಳ ಗಾತ್ರವು ತುಂಬಾ ಚಿಕ್ಕದಾಗಿರುತ್ತದೆ & 4 ತೊಟ್ಟುಗಳು ಸಮಾನವಾಗಿರುತ್ತವೆ.,Indicates Average Milking Capacity,यह औसत दूध देने की क्षमता को दर्शाता है।,"ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ತೊಟ್ಟುಗಳು, ಸರಾಸರಿ ಕಡಿಮೆ / ಮಧ್ಯಮ ಪ್ರಮಾಣದ ಹಾಲು ಕರೆಯುವ ಸಾಮರ್ಥ್ಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ. "
None,None,None,None,None,None,None,None,None,Teat-Score-7,None,None,None,None,None,N/A,N/A,Teat Size is Small & Symmetrical,निप्पलों का आकार छोटा और एक दूसरे के बराबर होता है।,ಕೆಚ್ಚಲಿನ ತೊಟ್ಟು ಗಳ ಗಾತ್ರವು ಚಿಕ್ಕದಾಗಿರುತ್ತದೆ & 4 ತೊಟ್ಟುಗಳು ಸಮಾನವಾಗಿರುತ್ತವೆ.,"Indicates they are Good Milkers, Use Teat Dips to prevent mastitis","यह दर्शाता है कि वे अच्छे दूध देने वाले हैं, मास्टिटिस को रोकने के लिए टीट डिप्स का उपयोग करें। ","ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ತೊಟ್ಟುಗಳು, ಸರಾಸರಿ ಮಧ್ಯಮ ಪ್ರಮಾಣದ  ಹಾಲು ಕರೆಯುವ ಸಾಮರ್ಥ್ಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ & Teat Dip ದ್ರಾವಣವನ್ನು ಕಡ್ಡಾಯವಾಗಿ ಉಪಯೋಗಿಸಿ."
None,None,None,None,None,None,None,None,None,Teat-Score-5,None,None,None,None,None,N/A,N/A,Teat Size is Intermediate in length & Still have Symmetry,निप्पलों का आकार लंबाई में ना ज्यादा बड़ा है ना छोटा है और अभी भी एक दूसरे के बराबर है।,ಕೆಚ್ಚಲಿನ ತೊಟ್ಟು ಗಳ  ಗಾತ್ರವು ಸ್ವಲ್ಪ ಉದ್ದವಾಗಿರುತ್ತವೆ  & 4 ತೊಟ್ಟುಗಳು ಸಮಾನವಾಗಿರುತ್ತವೆ.,"Indicates they are Good Milkers, Use Teat Dips to prevent mastitis","यह दर्शाता है कि वे अच्छे दूध देने वाले हैं, मास्टिटिस को रोकने के लिए टीट डिप्स का उपयोग करें। ","ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ತೊಟ್ಟುಗಳು, ಸರಾಸರಿ ಉತ್ತಮ ಪ್ರಮಾಣದ  ಹಾಲು ಕರೆಯುವ ಸಾಮರ್ಥ್ಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ & Teat Dip ದ್ರಾವಣವನ್ನು ಕಡ್ಡಾಯವಾಗಿ ಉಪಯೋಗಿಸಿ."
None,None,None,None,None,None,None,None,None,Teat-Score-3,None,None,None,None,None,N/A,N/A,Teat Size is Large Variable in Lenth & they are not Symmetrical,निप्पलों का आकार बड़ा है और इनकी लंबाई भी समान नहीं है ।,ಕೆಚ್ಚಲಿನ ತೊಟ್ಟು ಗಳು ದೊಡ್ಡದಾಗಿ & ವಿಭಿನ್ನ ಗಾತ್ರದಲ್ಲಿರುತ್ತವೆ ಮತ್ತು 4 ತೊಟ್ಟುಗಳು ಸಮಾನವಾಗಿರುವುದಿಲ್ಲ.,"Indicates they are prone for mastitis, Use Teat Dips to prevent mastitis","यह दर्शाता है  कि उन्हें मास्टिटिस होने का खतरा है, मास्टिटिस को रोकने के लिए टीट डिप्स का उपयोग करें। ",ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ತೊಟ್ಟುಗಳು ಪದೇ ಪದೇ ಕೆಚ್ಚಲು ಬಾವುನಿಂದ ಬಾಧಿಸಲ್ಪಡುತ್ತವೆ & Teat Dip ದ್ರಾವಣವನ್ನು ಕಡ್ಡಾಯವಾಗಿ ಉಪಯೋಗಿಸಿ.
None,None,None,None,None,None,None,None,None,Teat-Score-1,None,None,None,None,None,N/A,N/A,"Teat Size is very Large, Thick, Variable in lenth & Funnel shaped teat","निप्पलों का आकार बहुत बड़ा, मोटा, लंबाई में अलग-अलग होता है और यह कुप्पी  के आकार जैसा होता है।","ಕೆಚ್ಚಲಿನ ತೊಟ್ಟು ಗಳು ದೊಡ್ಡದಾಗಿ, ದಪ್ಪನಾಗಿ  & ವಿಭಿನ್ನ ಗಾತ್ರದಲ್ಲಿರುತ್ತವೆ ಮತ್ತು 4 ತೊಟ್ಟುಗಳು ಸಮಾನವಾಗಿರುವುದಿಲ್ಲ ವಿಭಿನ್ನವಾಗಿರುತ್ತವೆ.","Avoid Buying this type of Cow, If you are a farmer Prioritise this cow for Culling. Indicates they are prone for mastitis & Injury, Use Teat Dips to prevent mastitis","इस प्रकार की गाय खरीदने से बचें, यदि आप किसान हैं तो त्यागने नहीं तो  मारने के लिए इस गाय को प्राथमिकता दें।  यह दर्शाता है  कि उन्हें मास्टिटिस और चोट लगने का खतरा है, मास्टिटिस को रोकने के लिए टीट डिप्स का उपयोग करें। "," ನೀವು ಖರೀದಿದಾರರಾಗಿದ್ದರೆ ಈ ತರಹದ ಕೆಚ್ಚಲಿನ ಹಸು ಖರೀದಿಯನ್ನು ತಡೆಹಿಡಿಯಿರಿ. ನಿಮ್ಮ ಫಾರ್ಮ್ ನಲ್ಲಿ ಈ ತರಹದ ಹಸು ಇದ್ದರೆ, ಮುಂಬರುವ ಸಮಸ್ಯೆಯನ್ನು ತಪ್ಪಿಸಲು ಸೂಕ್ತ ಕ್ರಮ ಕೈಗೊಳ್ಳಿ. & Teat Dip ದ್ರಾವಣವನ್ನು ಕಡ್ಡಾಯವಾಗಿ ಉಪಯೋಗಿಸಿ."
None,None,None,None,None,None,None,None,Clefted-Slightly,None,None,None,None,None,None,N/A,N/A,Indicates their Milk Production Capacity is Average,यह बताता है कि उनकी दूध देने की  क्षमता औसत है।,"ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ಹಿಂಬದಿಯ ಸ್ವಲ್ಪ ಮಟ್ಟದ ಸೀಳಿಕೆಯು, ಸರಾಸರಿ ಕಡಿಮೆ ಪ್ರಮಾಣದ ಹಾಲು ಕರೆಯುವ ಸಾಮರ್ಥ್ಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ.",Indicates their Milk Production Capacity is Average,यह दर्शाता है कि उनकी  दूध देने की क्षमता औसत है। ,"ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ಹಿಂಬದಿಯ ಸ್ವಲ್ಪ ಮಟ್ಟದ ಸೀಳಿಕೆಯು, ಸರಾಸರಿ ಕಡಿಮೆ ಪ್ರಮಾಣದ ಹಾಲು ಕರೆಯುವ ಸಾಮರ್ಥ್ಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ."
None,None,None,None,None,None,None,None,Clefted-Moderate,None,None,None,None,None,None,N/A,N/A,Indicates their Milk Production Capacity is Good,यह बताता है कि उनकी दूध  देने की  क्षमता अच्छी है।,"ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ಹಿಂಬದಿಯ ಮಧ್ಯಮ ಮಟ್ಟದ ಸೀಳಿಕೆಯು, ಸರಾಸರಿ ಉತ್ತಮ  ಪ್ರಮಾಣದ ಹಾಲು ಕರೆಯುವ ಸಾಮರ್ಥ್ಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ.",Indicates their Milk Production Capacity is Good,यह दर्शाता है कि उनकी दूध देने की क्षमता अच्छी है। ,"ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ಹಿಂಬದಿಯ ಮಧ್ಯಮ ಮಟ್ಟದ ಸೀಳಿಕೆಯು, ಸರಾಸರಿ ಉತ್ತಮ  ಪ್ರಮಾಣದ ಹಾಲು ಕರೆಯುವ ಸಾಮರ್ಥ್ಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ."
None,None,None,None,None,None,None,None,Clefted-Deep,None,None,None,None,None,None,N/A,N/A,Indicates their Milk Production Capacity is Better & High milk producer,यह बताता है कि उनकी दूध  देने की क्षमता बेहतर है और वे अच्छे मात्रा मे दूध देते हैं।,"ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ಹಿಂಬದಿಯ ದೀರ್ಘ ಮಟ್ಟದ ಸೀಳಿಕೆಯು, ಸರಾಸರಿ ಅತ್ಯುತ್ತಮ  ಪ್ರಮಾಣದ ಹಾಲು ಕರೆಯುವ ಸಾಮರ್ಥ್ಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ.",Indicates their Milk Production Capacity is Better & High milk producer,यह बताता है कि उनकी दूध देने की क्षमता बेहतर है और वे ज्यादा दूध देने की क्षमता रखते हैं।,"ಈ ರೀತಿಯ ಕೆಚ್ಚಲಿನ ಹಿಂಬದಿಯ ದೀರ್ಘ ಮಟ್ಟದ ಸೀಳಿಕೆಯು, ಸರಾಸರಿ ಅತ್ಯುತ್ತಮ  ಪ್ರಮಾಣದ ಹಾಲು ಕರೆಯುವ ಸಾಮರ್ಥ್ಯವನ್ನು ಸೂಚಿಸುತ್ತದೆ."
None,None,None,None,None,None,None,None,None,None,None,Wound-No,None,None,None,N/A,N/A,Farmer is providing Good Bedding like Rubber mats/Paddy straw/Grass floor. Animal welfare is good & Health,"किसान रबर मैट, धान के भूसे, या घास के फर्श जैसे अच्छे बिस्तर पशु को प्रदान कर रहा है। इससे पशु का कल्याण और स्वास्थ्य अच्छा है।","ರೈತರು ತಮ್ಮ ಹಸುಗಳಿಗೆ ಉತ್ತಮ ನೆಲಹಾಸನ್ನು ಅಂದರೆ ರಬ್ಬರ್ ಮಾಟ್ಸ್ / ಹುಲ್ಲಿನ ಹಾಸಿಗೆಯನ್ನು ಒದಗಿಸಿರುವುದರಿಂದ, ಹಸುಗಳು ಆರೋಗ್ಯವಾಗಿವೆ ಮತ್ತು ಅವುಗಳ ಕಲ್ಯಾಣ ಉತ್ತಮವಾಗಿದೆ.",Continue the Same welfare management practice,पहले  जैसे पशु के देखभाल तरीके जारी रखें।,ರೈತರು  ಈಗಾಗಲೇ ರೂಢಿಸಿಕೊಂಡಿರುವ ರಬ್ಬರ್ ಮಾಟ್ಸ್ / ಹುಲ್ಲಿನ ಹಾಸಿಗೆಯನ್ನು ಮುಂದುವರಿಸುವುದು ಉತ್ತಮ.
None,None,None,None,None,None,None,None,None,None,None,Wound-Ulcerated,None,None,None,N/A,N/A,Animal is not getting Comfortable Bedding upon resting. Sharp floor edges or Stones in the Shed & Paddock causing chronic ulcerated wounds,"आराम करते समय पशु को आरामदायक बिस्तर नहीं मिल रहा है। शेड और पैडॉक में फर्श के नुकीले किनारे या पत्थर हैं, जो पुराने अल्सर वाले घावों का कारण बन सकते हैं।","ಹಸುಗಳು ವಿಶ್ರಾಂತಿಯಿಂದ ಮೆಲಕು ಹಾಕಲು ಉತ್ತಮ ನೆಲಹಾಸದ ರಬ್ಬರ್ ಮಾಟ್ಸ್ / ಹುಲ್ಲಿನ ಹಾಸಿಗೆಯ ಕೊರತೆಯಿದ್ದು, ಶೆಡ್ & ಪ್ಯಾಡಕ್ ನಲ್ಲಿರುವ ಚೂಪಾದ ಕಲ್ಲುಗಳು ದೀರ್ಘ ಕಾಲದ ವರೆಗೂ ಮೊಣಕಾಲು & ತೊಡೆಗಳಿಗೆ ಚುಚ್ಚಿ ಗಾಯಗಳನ್ನು ಉಂಟುಮಾಡುತ್ತಿವೆ.",Apply Neem Oil on the Ulcerated wound or Apply Spray. Topicure on wound.Avoid Flies to Prevent Maggot wound. Use Rubber Mats for Animal Resting. Remove the Shrap edges & Sharp Stones from Paddock & Shed.,अल्सर वाले घाव पर नीम का तेल लगाएं या स्प्रे करें। घाव पर टॉपिक्योर करें। मैगॉट घाव से बचने के लिए मक्खियों से दूर रखें। जानवरों की आरामदायक स्थिति के लिए रबर मैट का इस्तेमाल करें। पैडॉक और शेड में नुकीले किनारों और पत्थरों को हटा दें।,"ಹುಣ್ಣುಗಾಯಗಳಿಗೆ ಬೇವಿನ ಎಣ್ಣೆ ಯನ್ನು ಹಚ್ಚಿ ಮತ್ತು  Spray. Topicure 100ml -1 ನ್ನು ಸಿಂಪಡಿಸುವುದರಿಂದ ಗಾಯಗಳು ಬೇಗನೆ ವಾಸಿಯಾಗಿ, ಹುಳುಗಳು ಬೀಳುವುದು ತಪ್ಪುತ್ತದೆ.ಹಸುಗಳು ವಿಶ್ರಾಂತಿಯಿಂದ ಮೆಲಕು ಹಾಕಲು ಉತ್ತಮ ನೆಲಹಾಸದ ರಬ್ಬರ್ ಮಾಟ್ಸ್ / ಹುಲ್ಲಿನ ಹಾಸಿಗೆಯ ಒದಗಿಸಿ.  ಶೆಡ್ & ಪ್ಯಾಡಕ್ ನಲ್ಲಿರುವ ಚೂಪಾದ ಕಲ್ಲುಗಳು ತೆಗೆದುಗಾಕಿ."
None,None,None,None,None,None,None,None,None,None,None,Wound-Dry,None,None,None,N/A,N/A,Animal is not getting Comfortable Bedding upon resting. Sharp floor edges or Stones in the Shed & Paddock causing chronic wounds,आराम करते समय पशु को आरामदायक बिस्तर नहीं मिल रहा है। शेड और पैडॉक में फर्श के नुकीले किनारे या पत्थर पुराने घावों का कारण बनते हैं।,"ಹಸುಗಳು ವಿಶ್ರಾಂತಿಯಿಂದ ಮೆಲಕು ಹಾಕಲು ಉತ್ತಮ ನೆಲಹಾಸದ ರಬ್ಬರ್ ಮಾಟ್ಸ್ / ಹುಲ್ಲಿನ ಹಾಸಿಗೆಯ ಕೊರತೆಯಿದ್ದು, ಶೆಡ್ & ಪ್ಯಾಡಕ್ ನಲ್ಲಿರುವ ಚೂಪಾದ ಕಲ್ಲುಗಳು ದೀರ್ಘ ಕಾಲದ ವರೆಗೂ ಮೊಣಕಾಲು & ತೊಡೆಗಳಿಗೆ ಚುಚ್ಚಿ ಗಾಯಗಳನ್ನು ಉಂಟುಮಾಡುತ್ತಿವೆ.",Apply Neem Oil on the dry wound or Apply Spray. Topicure to Prevent Maggot wound. Use Rubber Mats for Animal Resting. Remove the Sharp edges & Sharp  Stones from Paddock & Shed.,सूखे घाव पर नीम का तेल लगाएं या स्प्रे लगाएं। मैगॉट घाव को रोकने के लिए टॉपिक्योर। जानवरों के आराम के लिए रबर मैट का प्रयोग करें। पैडॉक और शेड से नुकीले  किनारों और नुकीले  पत्थरों को हटा दें।,"ಹುಣ್ಣುಗಾಯಗಳಿಗೆ ಬೇವಿನ ಎಣ್ಣೆ ಯನ್ನು ಹಚ್ಚಿ ಮತ್ತು  Spray. Topicure 100ml -1 ನ್ನು ಸಿಂಪಡಿಸುವುದರಿಂದ ಗಾಯಗಳು ಬೇಗನೆ ವಾಸಿಯಾಗಿ, ಹುಳುಗಳು ಬೀಳುವುದು ತಪ್ಪುತ್ತದೆ.ಹಸುಗಳು ವಿಶ್ರಾಂತಿಯಿಂದ ಮೆಲಕು ಹಾಕಲು ಉತ್ತಮ ನೆಲಹಾಸದ ರಬ್ಬರ್ ಮಾಟ್ಸ್ / ಹುಲ್ಲಿನ ಹಾಸಿಗೆಯ ಒದಗಿಸಿ.  ಶೆಡ್ & ಪ್ಯಾಡಕ್ ನಲ್ಲಿರುವ ಚೂಪಾದ ಕಲ್ಲುಗಳು ತೆಗೆದುಗಾಕಿ."
None,None,None,None,None,None,None,None,None,None,None,None,Good,None,None,N/A,N/A,60 Rumination/minute,60 जुगाली /मिनट,60 Rumination/minute,"Animal Rumen Microbial Health is Good, kindly follow the better feeding recommendations.","पशु का रुमेन माइक्रोबियल स्वास्थ्य अच्छा है, कृपया पशु के अच्छे आहार से जुड़े सुझावों का पालन करें।",ಹಸು ಉತ್ತಮವಾಗಿ ಮೆಲಕು ಹಾಕುತ್ತಿದೆ & ಹಸುವಿನ ಹೊಟ್ಟೆಯಲ್ಲಿ ಉತ್ತಮ ಪ್ರಮಾಣದ ಸೂಕ್ಷ್ಮಾಣುಜೇವಿಗಳು ವಾಸಿಸುತ್ತಿವೆ. ಕ ಕೆಳಗೆ ಸೂಚಿಸಲಾದ ಒಳ್ಳೆಯ ಆಹಾರ ಕ್ರಮಗಳನ್ನು ಅಳವಡಿಸಿಕೊಳ್ಳಿ.
